group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
10797460,1,9.48803557,0.0,0.146,2.9575,615.8,0.022344,89.66,24.81,2.26,0.0853,793.0,93.59,5455.0,4.467,0.14,0.927,0.919
10797460,1,54.4183827,0.0,0.586,4.507,874.8,0.027954,89.57,77.9,2.83,0.2734,443.0,9.11,5455.0,4.467,0.14,0.927,0.919
10854555,1,2.525591777,0.0,0.701,1.6545,603.3,0.024064,85.41,8.75,2.75,0.0374,1406.0,926.16,6031.0,4.438,0.07,1.046,1.095
10872983,1,11.09432054,0.0,0.538,4.5945,1517.5,0.036779,88.11,16.36,3.9,0.0992,835.0,114.81,6046.0,4.486,-0.08,0.972,1.053
10872983,1,4.13443512,0.0,0.762,3.1402,686.0,0.026133,83.72,6.96,2.77,0.0514,1160.0,427.65,6046.0,4.486,-0.08,0.972,1.053
10872983,1,2.56658897,0.0,0.755,2.429,226.5,0.014983,82.17,5.54,1.59,0.0374,1360.0,807.74,6046.0,4.486,-0.08,0.972,1.053
6721123,0,7.36178958,0.0,1.169,5.022,233.7,0.183387,60.92,2.4,39.21,0.082,1342.0,767.22,6227.0,3.986,0.0,1.958,1.358
10910878,1,16.06864674,0.0,0.052,3.5347,4914.3,0.062161,89.92,36.85,5.76,0.1158,600.0,30.75,5031.0,4.485,0.16,0.848,0.801
11446443,1,2.470613377,0.0,0.818,1.74319,14231.0,0.123871,84.41,8.3977,13.04,0.0354,1339.0,761.46,5820.0,4.457,-0.06,0.964,0.971
10666592,1,2.204735417,0.0,0.224,3.88864,6674.7,0.075522,87.21,4.602,16.1,0.0376,2048.0,4148.92,6440.0,4.019,0.14,1.952,1.449
6922244,1,3.522498429,0.0,0.631,3.19843,9145.7,0.092086,85.2,7.541,14.59,0.0473,1521.0,1264.67,6225.0,4.169,-0.04,1.451,1.132
10419211,0,11.521446064,0.0,2.483,3.6399,17984.0,1.625358,83.13,20.75,150.51,0.0978,753.0,75.88,5795.0,4.554,-0.2,0.848,0.938
10464078,0,19.40393776,0.0,0.804,12.2155,8918.7,0.096729,84.93,9.099,7.18,0.123,523.0,17.69,5043.0,4.591,-0.54,0.68,0.657
10480982,0,19.221388942,0.0,1.065,4.79843,74284.0,0.476633,88.05,31.323,49.29,0.1417,698.0,55.97,6117.0,4.496,-0.22,0.947,1.025
10526549,1,9.27358173,0.0,0.387,3.2875,1288.3,0.032563,88.93,20.65,2.47,0.0759,649.0,41.85,4856.0,4.583,-0.3,0.696,0.676
10583066,1,6.02930329,0.0,0.258,1.5821,1912.7,0.038838,89.5,29.31,2.85,0.0585,678.0,50.04,4537.0,4.648,0.21,0.672,0.761
10601284,1,5.349553819,0.0,0.092,3.0278,831.0,0.025706,89.62,13.8015,2.55,0.0563,919.0,168.99,5185.0,4.44,0.16,0.91,0.831
10601284,1,3.94105221,0.0,0.226,2.5984,363.3,0.017105,88.88,11.51,1.7,0.046,1018.0,253.15,5185.0,4.44,0.16,0.91,0.831
10601284,1,8.10904807,0.0,0.025,3.596,217.4,0.013127,89.92,17.46,1.3,0.0743,800.0,97.03,5185.0,4.44,0.16,0.91,0.831
2306756,0,386.6030528,0.0,0.9765,6.8057,24927.0,0.240528,89.95,332.0,41.5,1.0719,297.0,1.84,5543.0,4.081,0.44,1.58,1.103
10662202,1,21.67699193,0.0,0.896,3.4555,857.2,0.032666,87.91,24.6,2.95,0.1408,530.0,18.64,4954.0,4.5,0.18,0.828,0.791
10682541,1,4.99677968,0.0,0.71,2.1717,934.7,0.030014,86.9,13.14,2.78,0.0559,917.0,166.95,5339.0,4.552,0.18,0.847,0.931
11463211,0,1.50635409,0.0,0.86,1.5155,2211.7,0.049899,79.38,4.67,4.53,0.025,1452.0,1054.12,5714.0,4.563,-0.2,0.831,0.926
11465813,0,670.645531,0.0,0.701,53.412,18091.0,0.131705,89.53,85.24,14.14,1.5155,196.0,0.35,5520.0,4.466,0.48,0.983,1.03
11493732,0,61.2563628,0.0,1.248,7.633,5123.3,0.334628,87.54,29.1,39.87,0.3137,505.0,15.43,6144.0,4.402,0.0,1.091,1.093
10910878,1,41.19725502,0.0,0.045,4.6297,2213.9,0.041693,89.96,70.75,3.86,0.217,439.0,8.76,5031.0,4.485,0.16,0.848,0.801
10910878,1,6.252962249,0.0,0.105,2.5819,1036.9,0.028604,89.68,18.94,2.65,0.0617,823.0,108.3,5031.0,4.485,0.16,0.848,0.801
10987985,1,16.01308419,0.0,0.799,3.2554,1121.9,0.034369,88.14,24.7,3.1,0.1148,593.0,29.31,5015.0,4.499,0.1,0.826,0.785
11018648,1,32.62876672,0.0,0.021,4.7971,1804.8,0.03852,89.98,53.95,3.36,0.1889,506.0,15.55,5586.0,4.56,-0.3,0.798,0.844
11018648,1,91.7732862,0.0,0.606,6.473,652.0,0.02432,89.61,89.4,2.12,0.3764,359.0,3.92,5586.0,4.56,-0.3,0.798,0.844
11138155,1,4.959319244,0.0,0.831,2.22739,9802.0,0.103379,86.15,12.386,12.21,0.0565,1103.0,349.4,5712.0,4.359,0.1,1.082,0.976
11153539,1,4.49876511,0.0,0.312,3.7362,460.0,0.019817,88.0,8.95,2.1,0.0542,1133.0,389.62,6075.0,4.486,-0.12,0.969,1.048
11242721,0,19.651209505,0.0,0.723,5.2514,11766.0,0.106953,88.27,23.98,12.42,0.1433,730.0,67.03,6074.0,4.391,-0.12,1.063,1.014
9579641,1,5.412203927,0.0,0.787,2.9472,601.6,0.024775,85.12,9.25,2.94,0.0591,1093.0,337.68,5779.0,4.339,-0.06,1.087,0.941
11304958,1,41.43958662,0.0,0.355,10.5989,2793.1,0.048175,89.31,29.47,5.5,0.2288,516.0,16.72,5468.0,4.367,0.22,1.046,0.93
11391957,1,8.35389523,0.0,0.023,2.2514,1041.6,0.029305,89.95,29.18,2.52,0.0768,790.0,91.9,5592.0,4.582,-0.28,0.787,0.862
11403044,1,4.125543472,0.0,0.597,3.1744,1487.3,0.036796,85.95,8.45,4.43,0.0529,1243.0,565.35,6174.0,4.417,0.1,1.103,1.162
11442465,0,33.93373447,0.0,0.812,14.561,8503.7,0.095386,86.45,13.12,7.34,0.1881,430.0,8.11,5040.0,4.628,-0.24,0.705,0.782
12110942,1,3.689920099,0.0,0.151,2.6557,426.7,0.018878,89.19,10.71,1.89,0.0469,1147.0,408.99,5880.0,4.518,-0.06,0.917,1.01
12366084,1,4.431238488,0.0,0.405,3.15,1010.9,0.02933,87.72,10.19,3.25,0.0529,1104.0,351.23,5714.0,4.428,0.16,1.015,1.007
12366084,1,11.37936986,0.0,0.911,2.6255,1023.5,0.035628,86.8,16.31,3.95,0.0993,806.0,99.68,5714.0,4.428,0.16,1.015,1.007
12404086,1,26.39432897,0.0,0.602,3.573,1510.9,0.03681,89.28,47.7,3.07,0.1635,489.0,13.49,5129.0,4.595,0.02,0.763,0.846
8395660,1,13.57078281,0.0,0.866,3.3539,511.7,0.023908,87.07,16.93,2.64,0.1096,785.0,89.61,5854.0,4.406,-0.12,1.012,0.951
9579641,1,7.12594387,0.0,0.898,3.0014,192.4,0.01512,84.02,8.62,1.79,0.0711,997.0,233.31,5779.0,4.339,-0.06,1.087,0.941
